SY_STATUS,OPERATIONAL_SCHOOLS,LEA_NAME,LEA_TYPE_TEXT,AGCHRT,LEA_TYPE,ST,ADDRESS,NUM_BAD_URLS,CHARTER_LEA_TEXT,WEBSITE_CCD,URL,SURVYEAR
1,0,(ILC) ATOKA-COAL COUNTIES,Other education agencies,N,8,OK,"201 SE FIRST ST, TUSHKA, OK 74525 ",1,State has charter LEAs but this LEA is not a charter LEA,,https://data.ok.gov/dataset/2015-oklahoma-public-school-directories/resource/69fb52a8-2e73-4a8a-afed-76219bff451c,2015
1,0,(ILC) CHOCTAW NATION,Other education agencies,N,8,OK,"810 Waldon Dr, Durant, OK 74702 ",0,State has charter LEAs but this LEA is not a charter LEA,http://www.choctawinterlocal.org,http://www.choctawnation.com/,2015
1,0,(ILC) FIVE-STAR,Other education agencies,N,8,OK,"1405 E Moses, Cushing, OK 74023 ",0,State has charter LEAs but this LEA is not a charter LEA,www.fsilc.k12.ok.us,http://www.fsilc.k12.ok.us/,2015
1,0,(ILC) OSAGE COUNTY,Other education agencies,N,8,OK,"207 E  Main Street, Hominy, OK 74035 ",0,State has charter LEAs but this LEA is not a charter LEA,ocic.k12.ok.us,https://sdeweb01.sde.ok.gov/OCAS/NormalPages/Common/ReportsPassThrough.aspx?RepID=DistrictFederalDeterminationLetter&ycd=1&Year=2016&CountyCode=57&DistrictCode=K001,2015
1,0,(ILC) POOLED INVESTMENT,Other education agencies,N,8,OK,"1001 NW 63RD ST SUITE 290, Oklahoma City, OK 73116 ",0,State has charter LEAs but this LEA is not a charter LEA,,http://www.schoolbug.org/district-4000018.html,2015
1,0,(ILC) SEMINOLE COUNTY,Other education agencies,N,8,OK,"630 GOLF RD, Seminole, OK 74868 ",0,State has charter LEAs but this LEA is not a charter LEA,,https://sdeweb01.sde.ok.gov/OCAS/NormalPages/Common/ReportsPassThrough.aspx?RepID=ImpactAidLetterDetails&ycd=1&Year=2015&CountyCode=67&DistrictCode=K001,2015
1,0,(ILC) SOUTHEASTERN OKLAHOMA,Other education agencies,N,8,OK,"103 NE Avenue A, Idabel, OK 74745 ",1,State has charter LEAs but this LEA is not a charter LEA,soic.k12.ok.us,http://takeasprescribed.org/regional-offices/,2015
1,0,(ILC) TRI-COUNTY,Other education agencies,N,8,OK,"100 SCHOOL STREET, FOX, OK 73435 ",3,State has charter LEAs but this LEA is not a charter LEA,www.ringling.k12.ok.us,http://www.foxps.k12.ok.us/3914,2015
1,1,21st Century Charter Sch of Gary,Independent Charter District,1,7,IN,"556 Washington St, Gary, IN 46402 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",www.geoacademies.org/,http://www.21cchartergary.org/,2015
1,1,21st Century Cyber CS,Independent Charter District,1,7,PA,"126 Wallace Ave., Downingtown, PA 19335 ",0,An LEA for programs authorized under IDEA but not under ESEA and Perkins,http://www.21stcenturycyber.org,http://21cccs.org/,2015
1,1,21st Century Preparatory School Agency,Independent Charter District,1,7,WI,"1220 Mound Ave, Racine, WI 53404 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",www.21stprepschool.org,http://www.21stprepschool.org/,2015
1,2,A Center for Creative Education,Independent Charter District,1,7,AZ,"215 South Main Street, Cottonwood, AZ 86326 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",centerforcreativeeducation.org,http://verdevalleymontessori.org/,2015
1,2,A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,Independent Charter District,1,7,TX,"5701 RED BIRD CTR DR, DALLAS, TX 75237 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",,http://www.awbrown.org/,2015
1,1,A.C.E. Academy,Independent Charter District,1,7,NC,"7807 Caldwell Rd, Harrisburg, NC 28075 ",0,An LEA for programs authorized under IDEA but not under ESEA and Perkins,http://www.aceacademycharter.org,http://www.aceacademycharter.org/,2015
1,1,A+ ACADEMY,Independent Charter District,1,7,TX,"8225 BRUTON RD, DALLAS, TX 75217 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",www.apluscharterschools.org,http://www.apluscharterschools.org/,2015
1,1,A+ Arts Academy,Independent Charter District,1,7,OH,"270 S Napoleon Ave, Columbus, OH 43213 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",http://aplusarts.com,http://www.aplusarts.com/,2015
1,1,A+ Children's Academy,Independent Charter District,1,7,OH,"100 Obetz Rd, Columbus, OH 43207 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",,http://www.apluschildrensacademy.org/,2015
3,2,A+ UNLIMITED POTENTIAL,Independent charter district,,7,TX,"2700 SOUTHWEST FWY, HOUSTON, TX 77098 ",0,LEA for federal programs,,http://houstonaplus.org/a-plus-up/,2016
1,1,Abby Kelley Foster Charter Public (District),Independent Charter District,1,7,MA,"10 New Bond Street, Worcester, MA 1606 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",www.akfcs.org,http://www.akfcs.org/,2015
3,2,ABLE CHARTER ABLE LEARNING,Independent Charter District,1,7,OK,"4500 N Classen Blvd #205, Oklahoma City, OK 73118 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",www.ablecharterschool.com,http://ablecharterschool.com/,2015
1,1,ABQ SCHOOL OF EXCELLENCE,Independent Charter District,1,7,NM,"13201 LOMAS BLVD NE, ALBUQUERQUE, NM 87112 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",,http://www.abqse.org/,2015
1,1,ABQ SIGN LANGUAGE ACADEMY,Independent Charter District,1,7,NM,"620 LOMAS BLVD NW, ALBUQUERQUE, NM 87102 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",,http://www.aslacademy.com/,2015
1,1,Academia Antonia Alonso,Independent Charter District,1,7,DE,"1200 North French Street, Wilmington, DE 19801 ",0,An LEA for programs authorized under ESEA and Perkins but not under IDEA,,http://www.academiacharter.com/,2015
1,1,ACADEMIA CESAR CHAVEZ CHARTER SCH.,Independent Charter District,1,7,MN,"1800 AMES AVE, SAINT PAUL, MN 55119 ",0,"An LEA for programs authorized under IDEA, ESEA, and Perkins",http://www.cesarchavezschool.com/,http://www.cesarchavezschool.com/,2015
