LEA_NAME	ST	ADDRESS	WEBSITE_CCD	SY_STATUS	OPERATIONAL_SCHOOLS	LEA_TYPE	LEA_TYPE_TEXT	CHARTER_LEA_TEXT	AGCHRT	SURVYEAR
(ILC) ATOKA-COAL COUNTIES	OK	"201 SE FIRST ST, TUSHKA, OK 74525 "		1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
(ILC) CHOCTAW NATION	OK	"810 Waldon Dr, Durant, OK 74702 "	http://www.choctawinterlocal.org	1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
(ILC) FIVE-STAR	OK	"1405 E Moses, Cushing, OK 74023 "	www.fsilc.k12.ok.us	1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
(ILC) OSAGE COUNTY	OK	"207 E  Main Street, Hominy, OK 74035 "	ocic.k12.ok.us	1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
(ILC) POOLED INVESTMENT	OK	"1001 NW 63RD ST SUITE 290, Oklahoma City, OK 73116 "		1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
(ILC) SEMINOLE COUNTY	OK	"630 GOLF RD, Seminole, OK 74868 "		1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
(ILC) SOUTHEASTERN OKLAHOMA	OK	"103 NE Avenue A, Idabel, OK 74745 "	soic.k12.ok.us	1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
(ILC) TRI-COUNTY	OK	"100 SCHOOL STREET, FOX, OK 73435 "	www.ringling.k12.ok.us	1	0	8	Other education agencies	State has charter LEAs but this LEA is not a charter LEA	N	2015
21st Century Charter Sch of Gary	IN	"556 Washington St, Gary, IN 46402 "	www.geoacademies.org/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
21st Century Cyber CS	PA	"126 Wallace Ave., Downingtown, PA 19335 "	http://www.21stcenturycyber.org	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
21st Century Preparatory School Agency	WI	"1220 Mound Ave, Racine, WI 53404 "	www.21stprepschool.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
A Center for Creative Education	AZ	"215 South Main Street, Cottonwood, AZ 86326 "	centerforcreativeeducation.org	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY	TX	"5701 RED BIRD CTR DR, DALLAS, TX 75237 "		1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
A.C.E. Academy	NC	"7807 Caldwell Rd, Harrisburg, NC 28075 "	http://www.aceacademycharter.org	1	1	7	Independent Charter District	An LEA for programs authorized under IDEA but not under ESEA and Perkins	1	2015
A+ ACADEMY	TX	"8225 BRUTON RD, DALLAS, TX 75217 "	www.apluscharterschools.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
A+ Arts Academy	OH	"270 S Napoleon Ave, Columbus, OH 43213 "	http://aplusarts.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
A+ Children's Academy	OH	"100 Obetz Rd, Columbus, OH 43207 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
A+ UNLIMITED POTENTIAL	TX	"2700 SOUTHWEST FWY, HOUSTON, TX 77098 "		3	2	7	Independent charter district	LEA for federal programs		2016
Abby Kelley Foster Charter Public (District)	MA	"10 New Bond Street, Worcester, MA 1606 "	www.akfcs.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ABLE CHARTER ABLE LEARNING	OK	"4500 N Classen Blvd #205, Oklahoma City, OK 73118 "	www.ablecharterschool.com	3	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ABQ SCHOOL OF EXCELLENCE	NM	"13201 LOMAS BLVD NE, ALBUQUERQUE, NM 87112 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ABQ SIGN LANGUAGE ACADEMY	NM	"620 LOMAS BLVD NW, ALBUQUERQUE, NM 87102 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academia Antonia Alonso	DE	"1200 North French Street, Wilmington, DE 19801 "		1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACADEMIA CESAR CHAVEZ CHARTER SCH.	MN	"1800 AMES AVE, SAINT PAUL, MN 55119 "	http://www.cesarchavezschool.com/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academic and Career Education Academy	MI	"884 EAST ISABELLA RD, MIDLAND, MI 48640 "	http://aceaofmidland.org/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMIC ARTS HIGH SCHOOL	MN	"60 E MARIE AVE STE #220, WEST SAINT PAUL, MN 55118 "	http://www.academicarts.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMIC LEADERSHIP CHARTER SCHOOL	NY	"677 E 141ST ST, BRONX, NY 10454 "	www.alcsbronx.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
ACADEMICS PLUS CHARTER SCHOOL	AR	"900 EDGEWOOD DRIVE, MAUMELLE, AR 72113 "	www.academicsplus.us/news.php	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMIE LAFAYETTE	MO	"6903 OAK ST, KANSAS CITY, MO 64113 "	WWW.ACADEMIELAFAYETTE.ORG	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy Charter High School	NJ	"1725 Main Street, Lake Como, NJ 7719 "	www.academycharterhs.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY CHARTER SCHOOL	NY	"117 N FRANKLIN AVE, HEMPSTEAD, NY 11550 "	www.academycharterschool.org	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Academy CS	PA	"900 Agnew Rd, Pittsburgh, PA 15227 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy Del Sol  Inc.	AZ	"732 W. Roger Rd, Tucson, AZ 85705 "		1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY FOR ACADEMIC EXCELLENCE	TX	"1673 TERRE COLONY COURT, DALLAS, TX 75212 "	www.dallascounty.org	1	5	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy for Business and Technology	MI	"19625 WOOD ST, MELVINDALE, MI 48122 "	www.abtmelvindale.com/index.htm	1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY FOR INTEGRATED ARTS	MO	"5604 TROOST, KANSAS CITY, MO 64110 "	www.afiakc.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)	UT	"5715 S 1300 E, SALT LAKE CITY, UT 84121 "	http://www.ames-slc.org/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy for Science and Design Charter School	NH	"486 Amherst St., Nashua, NH 3063 "		1	2	7	Independent Charter District	A charter district which is not an LEA for any federal program.	1	2015
Academy for Urban Leadership Charter School	NJ	"612 Amboy Ave, Perth Amboy, NJ 8861 "	www.aulchs.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy for Urban Scholars Youngstown	OH	"1350 5th Ave Ste 100 106, Youngstown, OH 44504 "	www.ausohio.com	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY OF ACCELERATED LEARNING INC	TX	"6711 BELLFORT ST, HOUSTON, TX 77087 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Arts and Sciences	OH	"3038 Leavitt Rd, Lorain, OH 44052 "	www.academyartssciences.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Building Industries  Inc.	AZ	"1547 E. Lipan Boulevard, Fort Mohave, AZ 86426 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL	TX	"5503 GRISSOM RD STE 107, SAN ANTONIO, TX 78238 "	www.actchs.org	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
ACADEMY OF DALLAS	TX	"1030 OAK PARK, DALLAS, TX 75232 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Dover Charter School	DE	"104 Saulsbury Road, Dover, DE 19904 "	www.aodcharter.org/	1	1	7	Independent Charter District	An LEA for programs authorized under ESEA and Perkins but not under IDEA	1	2015
Academy of Educational Excellence	OH	"4747 Heatherdowns Blvd., Toledo, OH 43614 "		1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy Of Excellence  Inc.	AZ	"425 N 36th Street, Phoenix, AZ 85008 "		1	2	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
Academy of Hope Adult PCS	DC	"601 Edgewood St NE, Washington, DC 20017 "	http://www.aohdc.org/	1	1	7	Independent Charter District	"An LEA for programs authorized under IDEA, ESEA, and Perkins"	1	2015
